TimeStamp,Screw RPM PD1,Screw RPM PD2
2018-01-12 08:43:00,176.84940833333334,125.98100166666667
2018-01-12 08:44:00,160.0038461,113.68580166666668
2018-01-12 08:45:00,181.0441766666667,125.54096666666668
2018-01-12 08:46:00,177.04981166666667,125.54522666666666
2018-01-12 08:47:00,178.47393,125.68764
2018-01-12 08:48:00,179.7351666666667,125.547795
2018-01-12 08:49:00,175.719495,125.58105
2018-01-12 08:50:00,180.13085333333336,125.49150333333334
2018-01-12 08:51:00,179.40856166666666,125.54608333333334
2018-01-12 08:52:00,178.65216,125.53585166666667
2018-01-12 08:53:00,182.87590833333334,125.484685
2018-01-12 08:54:00,178.69393666666667,125.45312833333334
2018-01-12 08:55:00,175.131935,125.76695333333333
2018-01-12 08:56:00,177.74481333333333,125.67144166666667
2018-01-12 09:00:00,177.80451,125.48809166666666
2018-01-12 09:01:00,177.46425333333335,125.45142166666666
2018-01-12 09:02:00,177.32355166666667,125.573375
2018-01-12 09:03:00,178.64533666666665,125.57934
2018-01-12 09:04:00,175.7860016666667,125.40196333333333
2018-01-12 09:05:00,178.45091,125.536705
2018-01-12 09:06:00,178.14390166666666,125.54181833333334
2018-01-12 09:07:00,177.029345,125.44460333333333
2018-01-12 09:08:00,177.491545,125.728575
2018-01-12 09:09:00,176.306195,125.85990333333332
2018-01-12 09:10:00,178.08933166666665,125.68252166666666
2018-01-12 09:11:00,177.35253833333334,125.58275666666667
2018-01-12 09:13:00,180.12659166666666,125.51880166666666
2018-01-12 09:14:00,175.0074316666667,125.477015
2018-01-12 09:15:00,176.82553666666666,125.34397
2018-01-12 09:16:00,177.46168833333334,125.34654166666668
2018-01-12 09:17:00,175.79368000000002,125.20156166666668
2018-01-12 09:18:00,178.22918833333333,125.09581333333334
2018-01-12 09:20:00,176.42217166666666,124.97302166666667
2018-01-12 09:21:00,181.32216666666667,124.93037333333334
2018-01-12 09:22:00,176.4119366666667,124.88774333333335
2018-01-12 09:23:00,177.31161333333333,125.20327166666667
2018-01-12 09:24:00,178.90969333333334,125.28087666666667
2018-01-12 09:25:00,175.31101833333332,125.11884
2018-01-12 09:26:00,177.55805833333335,125.211795
2018-01-12 09:27:00,179.86820833333334,125.255285
2018-01-12 09:28:00,180.0055,125.14613
2018-01-12 09:29:00,182.43503666666666,124.97898166666667
2018-01-12 09:31:00,179.73773,124.60206166666667
2018-01-12 09:32:00,179.85627166666666,124.72912833333334
2018-01-12 09:33:00,177.23315499999998,124.95085166666667
2018-01-12 09:34:00,180.16240833333333,124.71633833333334
2018-01-12 09:36:00,175.32636499999998,125.15806833333333
2018-01-12 09:37:00,179.35739999999998,125.064265
2018-01-12 09:38:00,177.326105,125.14612833333334
2018-01-12 09:39:00,178.83891666666665,125.10945833333334
2018-01-12 09:40:00,180.40459666666666,125.03185833333333
2018-01-12 09:41:00,179.30025333333333,125.19644666666666
2018-01-12 09:42:00,182.52286166666667,125.50430166666666
2018-01-12 09:43:00,176.344575,125.37041166666667
2018-01-12 09:44:00,176.95344666666668,125.32180666666666
2018-01-12 09:45:00,180.21015833333334,125.18536
2018-01-12 09:46:00,177.14616833333332,125.07534833333334
2018-01-12 09:47:00,177.93754166666668,124.90309666666667
2018-01-12 09:48:00,180.40118666666666,124.80758333333333
2018-01-12 09:50:00,180.06605,124.49462666666666
2018-01-12 09:51:00,178.89604333333332,124.49206000000001
2018-01-12 09:52:00,177.19819,124.49802666666666
2018-01-12 09:53:00,180.01403333333334,124.40849
2018-01-12 09:54:00,179.47508666666667,124.49974166666668
2018-01-12 09:55:00,177.65100666666666,124.53556333333333
2018-01-12 09:56:00,177.21268666666668,124.63531833333333
2018-01-12 09:57:00,180.19481666666667,124.44516
2018-01-12 09:58:00,180.40971,124.49206000000001
2018-01-12 10:00:00,178.44493666666668,124.57564
2018-01-12 10:01:00,180.82330166666668,124.37353333333334
2018-01-12 10:03:00,181.77584333333334,124.28143
2018-01-12 10:04:00,176.82979333333333,124.33942
2018-01-12 10:05:00,176.7196627118644,124.46353220338983
2018-01-12 10:06:00,178.59587666666667,124.41020666666667
2018-01-12 10:07:00,175.30419166666667,124.34112499999999
2018-01-12 10:08:00,177.16664333333335,124.50740833333333
2018-01-12 10:09:00,178.86193999999998,124.28484499999999
2018-01-12 10:10:00,179.89293333333333,124.36244666666667
